epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.88081,2.99426,5.11377,1.33487,0.00067,0.05,0.00035,0.00025,2.54135,4.79776,1.26729,4e-05,4e-05,4e-05
2,15.5989,2.79912,4.54433,1.2799,0.00367,0.275,0.00291,0.00126,2.23208,4.52215,1.1435,9.802e-05,9.802e-05,9.802e-05
3,23.2299,2.28778,3.84555,1.0773,0.006,0.45,0.00787,0.00335,1.94275,4.28452,1.03825,0.000153664,0.000153664,0.000153664
4,30.8908,2.33698,2.96172,1.07483,0.011,0.825,0.02158,0.00796,1.83233,3.98369,0.97884,0.000206932,0.000206932,0.000206932
5,38.5052,2.39591,2.10733,1.14778,0.01233,0.925,0.02707,0.0099,1.7432,3.79774,0.9579,0.000257824,0.000257824,0.000257824
6,46.0832,2.40275,2.12832,1.13462,0.01233,0.925,0.02368,0.00766,1.92819,3.85091,0.9997,0.00030634,0.00030634,0.00030634
7,53.6442,2.21357,1.76208,1.02647,0.01267,0.95,0.02109,0.00809,1.90152,3.78486,0.98696,0.00035248,0.00035248,0.00035248
8,61.1378,1.98576,1.91788,1.04516,0.01267,0.95,0.01958,0.00823,1.84249,3.75001,0.97299,0.000396244,0.000396244,0.000396244
9,68.6635,1.88155,1.54842,1.01959,0.013,0.975,0.01851,0.00721,1.78677,3.60224,0.96162,0.000437632,0.000437632,0.000437632
10,76.4329,1.99635,1.69182,1.06222,0.013,0.975,0.01833,0.00755,1.68496,3.54816,0.93902,0.000476644,0.000476644,0.000476644
11,84.3988,1.79581,1.40299,0.96307,0.013,0.975,0.01813,0.00738,1.64162,3.56179,0.93046,0.00051328,0.00051328,0.00051328
12,92.0304,1.96457,1.62571,0.98528,0.013,0.975,0.01818,0.00786,1.59852,3.52842,0.92942,0.00054754,0.00054754,0.00054754
