epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.42967,1.67318,3.59993,1.24959,0.00258,0.5,0.4975,0.38337,1.65969,3.49405,1.16648,0.00010002,0.00010002,0.00010002
2,3.91071,1.61214,2.63949,1.07789,0.01063,0.8625,0.50756,0.46358,1.55061,3.0721,0.9857,0.000212419,0.000212419,0.000212419
3,5.32156,1.49482,1.57321,1.00875,0.0123,0.9375,0.51237,0.42844,1.43118,3.03976,0.98229,0.000320197,0.000320197,0.000320197
4,6.67715,1.47228,1.42232,1.03793,0.71047,0.5,0.51319,0.4711,1.45937,2.91946,0.97077,0.000423355,0.000423355,0.000423355
5,8.07755,1.47012,1.33498,1.01294,0.99834,0.5,0.51562,0.45887,1.48211,2.77315,0.96687,0.000521891,0.000521891,0.000521891
6,9.40802,1.42288,1.26029,0.98021,0.96652,0.5,0.52677,0.43453,1.46644,2.65666,0.97571,0.000615806,0.000615806,0.000615806
7,10.7826,1.47101,1.18755,0.99041,0.98493,0.5,0.52738,0.44765,1.46084,2.49205,0.94814,0.000705101,0.000705101,0.000705101
8,12.1083,1.39588,1.12347,0.98514,0.99457,0.5,0.66643,0.52595,1.58161,2.21273,0.98206,0.000789775,0.000789775,0.000789775
9,13.4756,1.34597,1.13135,0.97858,0.99476,0.5,0.8003,0.59402,1.26703,2.03011,0.91489,0.000869827,0.000869827,0.000869827
10,14.8188,1.31401,1.05009,0.9457,0.99532,0.5,0.92526,0.66553,1.34675,1.99901,0.91948,0.000945259,0.000945259,0.000945259
11,16.1515,1.30442,1.01833,0.96355,0.99714,0.5,0.93741,0.68509,1.39911,1.89663,0.95305,0.00101607,0.00101607,0.00101607
12,17.5179,1.32188,1.03121,0.97489,0.93275,0.54424,0.95551,0.66696,1.30124,1.75673,0.91188,0.00108226,0.00108226,0.00108226
13,18.8743,1.3041,1.03208,0.94898,0.75615,0.7,0.96674,0.67127,1.36857,1.63579,0.94592,0.00114383,0.00114383,0.00114383
14,20.2104,1.22017,0.92955,0.93733,0.61776,0.87052,0.9547,0.67745,1.3026,1.35322,0.95735,0.00120078,0.00120078,0.00120078
15,21.5283,1.32937,0.97786,0.97292,0.91915,0.9625,0.99276,0.70499,1.27464,1.10253,0.94655,0.00120491,0.00120491,0.00120491
16,22.8747,1.20807,0.89176,0.94552,0.93193,0.96191,0.98889,0.6951,1.30988,1.11611,0.91518,0.0011719,0.0011719,0.0011719
17,24.1913,1.26941,0.9113,0.93982,0.8975,0.9625,0.99011,0.68849,1.28599,1.00717,0.92704,0.00113889,0.00113889,0.00113889
18,25.5097,1.23389,0.87844,0.93683,0.86945,0.9625,0.96458,0.68905,1.29847,0.99195,0.95696,0.00110589,0.00110589,0.00110589
19,26.8342,1.17904,0.84855,0.91327,0.87314,0.99344,0.9851,0.71627,1.26724,0.8491,0.92489,0.00107288,0.00107288,0.00107288
20,28.1667,1.19185,0.82848,0.91684,0.94018,1,0.995,0.73769,1.24665,0.81728,0.94112,0.00103987,0.00103987,0.00103987
21,29.4986,1.27892,0.84649,0.95745,0.94714,1,0.995,0.72723,1.26757,0.74883,0.95173,0.00100687,0.00100687,0.00100687
22,30.8275,1.2446,0.82576,0.92799,0.94936,1,0.995,0.70729,1.22793,0.73031,0.94482,0.000973861,0.000973861,0.000973861
23,32.1694,1.21825,0.81427,0.90946,0.95574,1,0.995,0.69158,1.29042,0.70616,0.93104,0.000940855,0.000940855,0.000940855
24,33.484,1.23536,0.80132,0.92709,0.96147,1,0.995,0.68208,1.28422,0.69476,0.93286,0.000907848,0.000907848,0.000907848
25,34.8028,1.20798,0.79548,0.91022,0.95446,1,0.995,0.68859,1.27076,0.69778,0.928,0.000874842,0.000874842,0.000874842
26,36.1156,1.2255,0.79336,0.92799,0.95676,1,0.995,0.72313,1.21651,0.68226,0.90666,0.000841835,0.000841835,0.000841835
27,37.4223,1.14649,0.75325,0.90338,0.95894,1,0.995,0.72413,1.2366,0.68369,0.9114,0.000808828,0.000808828,0.000808828
28,38.7352,1.17621,0.75418,0.91732,0.96189,1,0.995,0.74329,1.17392,0.66235,0.91025,0.000775822,0.000775822,0.000775822
29,40.0476,1.19708,0.75021,0.91782,0.96507,1,0.995,0.74869,1.2301,0.67039,0.91047,0.000742815,0.000742815,0.000742815
