epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.72066,2.6188,4.67705,1.13212,0,0,0,0,2.91462,4.46956,1.22939,4e-05,4e-05,4e-05
2,3.58621,2.81868,4.67842,1.17911,0,0,0,0,2.6502,4.22755,1.13356,9.802e-05,9.802e-05,9.802e-05
3,4.577,2.66395,4.25601,1.09629,0.00233,0.175,0.00159,0.00032,2.43277,4.16245,1.03782,0.000153664,0.000153664,0.000153664
4,5.4823,2.44061,3.85262,0.99395,0.00633,0.475,0.00621,0.00178,1.98685,3.97117,0.90164,0.000206932,0.000206932,0.000206932
5,6.38803,2.28004,2.95871,0.9855,0.01267,0.95,0.04903,0.01221,1.99073,3.86911,0.90019,0.000257824,0.000257824,0.000257824
6,7.23644,2.32715,2.35546,0.97686,0.01267,0.95,0.06177,0.0126,2.00972,3.9095,0.89495,0.00030634,0.00030634,0.00030634
