epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.53169,2.70727,4.8813,1.14051,0.001,0.075,0.00054,0.0002,2.79112,4.5839,1.1803,4e-05,4e-05,4e-05
2,3.43005,2.8771,4.83794,1.18609,0.001,0.075,0.00055,0.0002,2.69649,4.51992,1.16416,9.802e-05,9.802e-05,9.802e-05
3,4.27601,2.86501,4.65734,1.1762,0.00133,0.1,0.00074,0.00011,2.50523,4.38295,1.0973,0.000153664,0.000153664,0.000153664
4,5.09463,2.59494,3.88439,1.0539,0.00967,0.725,0.01731,0.00458,2.22851,4.10131,0.95632,0.000206932,0.000206932,0.000206932
5,5.90081,2.41156,2.61657,0.99184,0.012,0.9,0.02747,0.01018,2.10617,3.81077,0.91449,0.000257824,0.000257824,0.000257824
6,6.67948,2.27671,2.28654,0.97378,0.01267,0.95,0.02895,0.0104,1.95904,3.72782,0.89379,0.00030634,0.00030634,0.00030634
7,7.44662,2.20266,1.98469,0.978,0.01267,0.95,0.02521,0.00918,1.85256,3.63883,0.89104,0.00035248,0.00035248,0.00035248
8,8.21008,2.19899,1.94781,1.00075,0.01267,0.95,0.02556,0.0083,1.82928,3.63655,0.89121,0.000396244,0.000396244,0.000396244
9,8.98988,2.26106,1.83987,0.95031,0.01233,0.925,0.02415,0.00952,1.77654,3.57626,0.87665,0.000437632,0.000437632,0.000437632
10,9.7516,2.15984,1.80907,0.9692,0.01267,0.95,0.0243,0.01013,1.66668,3.52149,0.86799,0.000476644,0.000476644,0.000476644
11,10.5315,1.97493,1.97725,0.94229,0.01267,0.95,0.02323,0.00908,1.75876,3.44948,0.87857,0.00051328,0.00051328,0.00051328
12,11.2915,2.02936,1.65684,0.92107,0.01267,0.95,0.02248,0.00779,1.77441,3.47796,0.87975,0.00054754,0.00054754,0.00054754
13,12.0703,2.032,1.78528,0.96027,0.01267,0.95,0.02242,0.00911,1.76202,3.39552,0.87528,0.000579424,0.000579424,0.000579424
14,12.8166,1.91012,1.44968,0.92123,0.013,0.975,0.02361,0.01017,1.80693,3.28394,0.88396,0.000608932,0.000608932,0.000608932
15,13.6299,1.89189,1.56434,0.93776,0.01233,0.925,0.02144,0.00878,1.76149,3.32165,0.88822,0.000636064,0.000636064,0.000636064
16,14.4414,1.80275,1.3904,0.90537,0.012,0.9,0.02038,0.00876,1.70387,3.37458,0.87925,0.00066082,0.00066082,0.00066082
17,15.2591,1.82336,1.39134,0.93036,0.01133,0.85,0.02209,0.00811,1.77907,3.44877,0.88541,0.0006832,0.0006832,0.0006832
18,16.055,1.9066,1.39768,0.90376,0.01133,0.85,0.03927,0.0143,1.8803,3.46129,0.89539,0.000703204,0.000703204,0.000703204
19,16.8622,1.881,1.28945,0.95388,0.01267,0.95,0.10804,0.03192,2.01913,3.13626,0.91817,0.000720832,0.000720832,0.000720832
20,17.6581,1.77731,1.36553,0.89688,0.01267,0.95,0.20684,0.07686,1.91908,3.04382,0.90037,0.000736084,0.000736084,0.000736084
21,18.4405,1.91148,1.37935,0.96846,0.013,0.975,0.22696,0.08198,1.8109,3.01563,0.89088,0.00074896,0.00074896,0.00074896
22,19.2151,1.91535,1.40183,0.92937,0.01333,1,0.23977,0.09403,1.75069,2.9413,0.87962,0.00075946,0.00075946,0.00075946
23,19.989,1.75717,1.35203,0.9018,0.01333,1,0.23948,0.11221,1.69221,3.06707,0.87142,0.000767584,0.000767584,0.000767584
24,20.7614,1.84313,1.26854,0.91779,0.01333,1,0.4414,0.20422,1.6999,3.35,0.86538,0.000773332,0.000773332,0.000773332
