epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.68669,2.79177,5.16143,1.1118,0.00167,0.125,0.00102,0.00046,2.70106,4.69701,1.14416,4e-05,4e-05,4e-05
2,17.661,2.58679,4.46532,1.07276,0.00467,0.35,0.0051,0.00179,2.36221,4.40182,1.03373,9.802e-05,9.802e-05,9.802e-05
3,25.6852,2.3418,3.8748,1.00116,0.009,0.675,0.01571,0.00551,2.13708,4.20453,0.95608,0.000153664,0.000153664,0.000153664
4,33.5803,2.39844,2.84765,1.00638,0.01167,0.875,0.02382,0.0073,2.05035,4.04201,0.91081,0.000206932,0.000206932,0.000206932
5,41.4359,2.29818,2.29651,0.99336,0.01167,0.875,0.02198,0.00769,2.02284,3.88787,0.89709,0.000257824,0.000257824,0.000257824
6,49.2274,2.15021,2.00353,0.98859,0.01233,0.925,0.02449,0.00876,1.88265,3.84521,0.88311,0.00030634,0.00030634,0.00030634
7,57.0278,2.18444,1.90336,0.93086,0.01267,0.95,0.02599,0.00853,1.82921,3.84914,0.87854,0.00035248,0.00035248,0.00035248
8,64.7569,2.05191,1.7933,0.93973,0.01233,0.925,0.02526,0.00791,1.82206,3.82622,0.88235,0.000396244,0.000396244,0.000396244
9,72.6283,2.07286,1.71395,0.94442,0.01267,0.95,0.02521,0.01023,1.87068,3.72422,0.88931,0.000437632,0.000437632,0.000437632
10,80.3752,1.94364,1.70332,0.93124,0.012,0.9,0.02568,0.01014,1.8342,3.69369,0.88302,0.000476644,0.000476644,0.000476644
11,88.133,1.88565,1.51978,0.8957,0.01167,0.875,0.02406,0.01002,1.74534,3.6954,0.87582,0.00051328,0.00051328,0.00051328
12,96.1055,1.81012,1.56638,0.92737,0.01167,0.875,0.02377,0.01037,1.76183,3.66392,0.87731,0.00054754,0.00054754,0.00054754
13,103.982,1.89644,1.5126,0.92069,0.01233,0.925,0.02615,0.01097,1.96191,3.50232,0.89942,0.000579424,0.000579424,0.000579424
14,111.776,2.07267,1.72327,0.89199,0.01267,0.95,0.02703,0.01291,1.86674,3.44821,0.89018,0.000608932,0.000608932,0.000608932
15,119.597,1.93831,1.51627,0.89942,0.013,0.975,0.07148,0.04272,1.70514,3.38156,0.86566,0.000636064,0.000636064,0.000636064
16,127.384,1.8159,1.42126,0.91098,0.013,0.975,0.08832,0.04169,1.6689,3.31917,0.86367,0.00066082,0.00066082,0.00066082
17,135.214,2.04754,1.43492,0.91977,0.013,0.975,0.1565,0.07099,1.67741,3.2279,0.86833,0.0006832,0.0006832,0.0006832
18,142.951,1.86507,1.4199,0.92377,0.01267,0.95,0.24164,0.10144,1.72922,3.17513,0.87136,0.000703204,0.000703204,0.000703204
19,150.771,1.77556,1.30363,0.88904,0.013,0.975,0.38511,0.14354,1.81644,3.13221,0.88228,0.000720832,0.000720832,0.000720832
20,158.561,1.95973,1.45538,0.92415,0.01333,1,0.50895,0.20088,1.79771,3.08546,0.8804,0.000736084,0.000736084,0.000736084
21,166.397,1.87328,1.35533,0.90158,0.013,0.975,0.48124,0.19097,1.81543,3.14126,0.88498,0.00074896,0.00074896,0.00074896
22,174.148,1.76421,1.30888,0.89901,0.01333,1,0.56526,0.25009,1.75682,3.14141,0.88163,0.00075946,0.00075946,0.00075946
23,181.982,1.89786,1.28335,0.92309,0.01333,1,0.64926,0.30911,1.58254,3.04039,0.86217,0.000767584,0.000767584,0.000767584
24,189.734,1.60661,1.19204,0.88304,0.01333,1,0.78074,0.3991,1.59145,2.82938,0.85812,0.000773332,0.000773332,0.000773332
